prv_repo,pub_free_teaser,pub_free_repo,pub_pro_repo,pub_enterprise_repo,github_free_repo,subdirectory
Zabbix-UI-Modules-AI-Preprocessing-Assistant,true,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Modules-AI-Preprocessing-Assistant.git,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Modules-AI-Preprocessing-Assistant-PRO.git,,https://github.com/initMAX/Zabbix-UI-Modules-AI-Preprocessing-Assistant.git,
Zabbix-UI-Modules-AI-Problem-Diagnostics-Assistant,true,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Modules-AI-Problem-Diagnostics-Assistant.git,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Modules-AI-Problem-Diagnostics-Assistant-PRO.git,,https://github.com/initMAX/Zabbix-UI-Modules-AI-Problem-Diagnostics-Assistant.git,
Zabbix-UI-Modules-Compact-Dashboard,false,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Modules-Compact-Dashboard.git,,,https://github.com/initMAX/Zabbix-UI-Modules-Compact-Dashboard.git,
Zabbix-UI-Modules-Custom-Menu-Buttons,true,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Modules-Custom-Menu-Buttons.git,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Modules-Custom-Menu-Buttons-PRO.git,,https://github.com/initMAX/Zabbix-UI-Modules-Custom-Menu-Buttons.git,
Zabbix-UI-Modules-Hide-widget-header,false,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Modules-Hide-widget-header.git,,,https://github.com/initMAX/Zabbix-UI-Modules-Hide-widget-header.git,
Zabbix-UI-Modules-inventoryMAX,true,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Modules-inventoryMAX.git,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Modules-inventoryMAX-PRO.git,,https://github.com/initMAX/Zabbix-UI-Modules-inventoryMAX.git,
Zabbix-UI-Modules-Message-of-the-Day,false,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Modules-Message-of-the-Day,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Modules-Message-of-the-Day-PRO.git,,https://github.com/initMAX/Zabbix-UI-Modules-Message-of-the-Day.git,
Zabbix-UI-Modules-Sortable-latest-data,false,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Modules-Sortable-latest-data.git,,,https://github.com/initMAX/Zabbix-UI-Modules-Sortable-latest-data.git,
Zabbix-UI-Modules-Stretched-Dashboard,false,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Modules-Stretched-Dashboard.git,,,https://github.com/initMAX/Zabbix-UI-Modules-Stretched-Dashboard.git,
Zabbix-UI-Modules-Structured-dashboards,false,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Modules-Structured-dashboards.git,,,https://github.com/initMAX/Zabbix-UI-Modules-Structured-dashboards.git,
Zabbix-UI-Modules-User-filter-manager,false,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Modules-User-filter-manager.git,,,https://github.com/initMAX/Zabbix-UI-Modules-User-filter-manager.git,
Zabbix-UI-Modules-uxMAX,false,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Modules-uxMAX.git,,,https://github.com/initMAX/Zabbix-UI-Modules-uxMAX.git,
Zabbix-UI-Widgets-ChatGPT,false,https://git.initmax.cz/initMAX-Public/zabbix-chatgpt-widget.git,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Widgets-ChatGPT-PRO.git,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Widgets-ChatGPT-ENTERPRISE.git,https://github.com/initMAX/Zabbix-UI-Widgets-ChatGPT.git,
Zabbix-UI-Widgets-Enhanced-Problems,false,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Widgets-Enhanced-Problems.git,,,https://github.com/initMAX/Zabbix-UI-Widgets-Enhanced-Problems.git,
Zabbix-UI-Widgets-gaugeMAX,false,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Widgets-gaugeMAX.git,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Widgets-gaugeMAX-PRO.git,,https://github.com/initMAX/Zabbix-UI-Widgets-gaugeMAX.git,
Zabbix-UI-Widgets-headerMAX,false,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Widgets-headerMAX.git,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Widgets-headerMAX-PRO.git,,https://github.com/initMAX/Zabbix-UI-Widgets-headerMAX.git,
Zabbix-UI-Widgets-itemMAX,false,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Widgets-itemMAX.git,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Widgets-itemMAX-PRO.git,,https://github.com/initMAX/Zabbix-UI-Widgets-itemMAX.git,
Zabbix-UI-Widgets-matrixMAX,true,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Widgets-matrixMAX.git,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Widgets-matrixMAX-PRO.git,,https://github.com/initMAX/Zabbix-UI-Widgets-matrixMAX.git,Zabbix-UI-Widgets-matrixMAX
Zabbix-UI-Widgets-matrixMAX-detail,true,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Widgets-matrixMAX.git,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Widgets-matrixMAX-PRO.git,,https://github.com/initMAX/Zabbix-UI-Widgets-matrixMAX.git,Zabbix-UI-Widgets-matrixMAX-detail
Zabbix-UI-Widgets-mineMAX-game,false,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Widgets-mineMAX-game.git,https://git.initmax.cz/initMAX-Public/Zabbix-UI-Widgets-mineMAX-game.git,,https://github.com/initMAX/Zabbix-UI-Widgets-mineMAX-game.git,
